IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups
DomainName,1xbet49.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet86.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet60.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet51.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet76.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet108.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet47.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet103.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet68.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet104.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet46.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet50.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet80.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet94.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet109.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet64.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet69.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet90.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet63.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet107.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet70.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet82.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet62.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet78.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet95.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet75.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet53.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet101.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet92.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet65.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet61.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
DomainName,1xbet106.com,,AlertAndBlock,Informational,Hazardni hry,Blokovane hazardni hry ze seznamu MFCR,,
