IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,ac1b2b89e60707a20e9eb1ca480bc3410ead40643b386d624c5d21b47c02917c,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,d3c6785e18fba3749fb785bc313cf8346182f532c59172b69adfb31b96a5d0af,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,d0d626deb3f9484e649294a8dfa814c5568f846d5aa02d4cdad5d041a29d5600,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,53f8dfc65169ccda021b72a62e0c22a4db7c4077f002fa742717d41b3c40f2c7,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,292327e5c94afa352cc5a02ca273df543f2020d0e76368ff96c84f4e90778712,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
FileSha256,c15abaf51e78ca56c0376522d699c978217bf041a3bd3c71d09193efa5717c71,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,13.57.184.217,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,13.59.205.66,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,18.217.225.111,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,18.220.219.143,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,196.203.11.89,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
IpAddress,3.16.81.254,,AlertAndBlock,High,Malicious file,SolarWinds compromised software by NUKIB,,,,
